student_id,name,course,semester,attendance,previous_gpa,current_gpa,assignment_rate,internal_marks,backlogs,engagement,dropout,gpa_trend
STU0001,Ayaan Sharma,B.Tech Mechanical,5,89,8.13,8.41,99,84,0,83,0,0.28
STU0002,Krishna Mehta,B.Tech Mechanical,2,94,8.58,8.64,94,83,0,81,0,0.06
STU0003,Aditya Sharma,B.Tech Computer Science,4,88,7.24,7.05,89,79,0,87,0,-0.19
STU0004,Shreya Sharma,MBA,4,82,7.49,7.93,90,86,0,75,0,0.44
STU0005,Neha Bose,MCA,8,84,8.26,8.18,93,82,0,82,0,-0.08
STU0006,Aarav Kumar,B.Tech Mechanical,7,83,9.13,9.28,86,90,0,76,0,0.15
STU0007,Ishaan Iyer,BCA,2,88,7.22,7.1,92,90,0,86,0,-0.12
STU0008,Reyansh Das,BCA,5,86,8.05,7.9,88,83,0,92,0,-0.15
STU0009,Zoya Kapoor,B.Tech Computer Science,7,88,7.32,7.53,90,81,0,89,0,0.21
STU0010,Aadhya Kulkarni,BCA,4,92,8.67,8.65,90,87,0,91,0,-0.02
STU0011,Aditya Nair,BCA,2,84,8.11,8.04,86,90,0,94,0,-0.07
STU0012,Reyansh Joshi,BCA,8,86,8.7,8.92,88,88,0,95,0,0.22
STU0013,Riya Kumar,BCA,6,86,8.98,8.68,96,86,0,82,0,-0.3
STU0014,Saanvi Patel,MBA,3,87,7.21,7.32,93,94,0,81,0,0.11
STU0015,Ananya Kumar,B.Tech Electronics,7,82,7.95,8.28,93,82,0,88,0,0.33
STU0016,Priya Nair,B.Tech Mechanical,6,87,8.68,8.69,90,83,0,74,0,0.01
STU0017,Vihaan Nair,B.Tech Computer Science,6,88,8.33,8.48,90,77,0,82,0,0.15
STU0018,Arjun Iyer,MBA,6,85,7.8,7.92,94,97,0,86,0,0.12
STU0019,Kavya Joshi,B.Tech Mechanical,8,88,8.16,7.93,91,86,0,98,0,-0.23
STU0020,Krishna Nair,B.Tech Mechanical,5,86,8.35,8.49,86,92,0,90,0,0.14
STU0021,Sneha Chopra,B.Tech Electronics,6,90,7.75,8.18,84,89,0,98,0,0.43
STU0022,Krishna Malhotra,B.Tech Electronics,2,82,7.92,8.09,89,76,0,85,0,0.17
STU0023,Ayaan Singh,B.Tech Mechanical,3,81,8.44,8.41,99,81,0,82,0,-0.03
STU0024,Sneha Kulkarni,B.Tech Computer Science,7,91,7.58,7.78,98,76,0,86,0,0.2
STU0025,Zoya Malhotra,BCA,1,88,8.59,8.49,85,89,0,87,0,-0.1
